# Chunk-averaged data for fix ave_density and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
7000 300 2532
  1 0.05 8 0.8
  2 0.15 7 0.7
  3 0.25 7 0.7
  4 0.35 11 1.1
  5 0.45 8 0.8
  6 0.55 8 0.8
  7 0.65 11 1.1
  8 0.75 9 0.9
  9 0.85 10 1
  10 0.95 7 0.7
  11 1.05 6 0.6
  12 1.15 5 0.5
  13 1.25 10 1
  14 1.35 10 1
  15 1.45 9 0.9
  16 1.55 11 1.1
  17 1.65 8 0.8
  18 1.75 5 0.5
  19 1.85 9 0.9
  20 1.95 4 0.4
  21 2.05 11 1.1
  22 2.15 11 1.1
  23 2.25 9 0.9
  24 2.35 11 1.1
  25 2.45 6 0.6
  26 2.55 12 1.2
  27 2.65 6 0.6
  28 2.75 3 0.3
  29 2.85 8 0.8
  30 2.95 13 1.3
  31 3.05 10 1
  32 3.15 18 1.8
  33 3.25 4 0.4
  34 3.35 5 0.5
  35 3.45 9 0.9
  36 3.55 4 0.4
  37 3.65 6 0.6
  38 3.75 8 0.8
  39 3.85 7 0.7
  40 3.95 12 1.2
  41 4.05 13 1.3
  42 4.15 8 0.8
  43 4.25 8 0.8
  44 4.35 8 0.8
  45 4.45 3 0.3
  46 4.55 9 0.9
  47 4.65 7 0.7
  48 4.75 10 1
  49 4.85 8 0.8
  50 4.95 13 1.3
  51 5.05 10 1
  52 5.15 8 0.8
  53 5.25 8 0.8
  54 5.35 6 0.6
  55 5.45 10 1
  56 5.55 4 0.4
  57 5.65 10 1
  58 5.75 5 0.5
  59 5.85 13 1.3
  60 5.95 9 0.9
  61 6.05 14 1.4
  62 6.15 7 0.7
  63 6.25 6 0.6
  64 6.35 2 0.2
  65 6.45 10 1
  66 6.55 7 0.7
  67 6.65 12 1.2
  68 6.75 13 1.3
  69 6.85 9 0.9
  70 6.95 12 1.2
  71 7.05 8 0.8
  72 7.15 4 0.4
  73 7.25 4 0.4
  74 7.35 3 0.3
  75 7.45 13 1.3
  76 7.55 11 1.1
  77 7.65 11 1.1
  78 7.75 12 1.2
  79 7.85 7 0.7
  80 7.95 9 0.9
  81 8.05 8 0.8
  82 8.15 6 0.6
  83 8.25 6 0.6
  84 8.35 15 1.5
  85 8.45 10 1
  86 8.55 6 0.6
  87 8.65 10 1
  88 8.75 8 0.8
  89 8.85 10 1
  90 8.95 8 0.8
  91 9.05 7 0.7
